RegionID,SizeRank,RegionName,RegionType,StateName,date,rent_index,zorf_growth_pct,rent_lag1,rent_lag3,month
394856,8,"Miami, FL",msa,FL,2019-07-31,1691.2722742304704,,1686.1256315305425,1676.8507612771025,7
394856,8,"Miami, FL",msa,FL,2019-08-31,1695.0819323104058,,1691.2722742304704,1682.0902651601798,8
394856,8,"Miami, FL",msa,FL,2019-09-30,1701.1654100816168,,1695.0819323104058,1686.1256315305425,9
394856,8,"Miami, FL",msa,FL,2019-10-31,1710.7407512487748,,1701.1654100816168,1691.2722742304704,10
394856,8,"Miami, FL",msa,FL,2019-11-30,1720.9550248349287,,1710.7407512487748,1695.0819323104058,11
394856,8,"Miami, FL",msa,FL,2019-12-31,1727.37969648064,,1720.9550248349287,1701.1654100816168,12
394856,8,"Miami, FL",msa,FL,2020-01-31,1728.825204682319,,1727.37969648064,1710.7407512487748,1
394856,8,"Miami, FL",msa,FL,2020-02-29,1731.6222778317515,,1728.825204682319,1720.9550248349287,2
394856,8,"Miami, FL",msa,FL,2020-03-31,1732.8337422381885,,1731.6222778317515,1727.37969648064,3
394856,8,"Miami, FL",msa,FL,2020-04-30,1726.9633511231373,,1732.8337422381885,1728.825204682319,4
394856,8,"Miami, FL",msa,FL,2020-05-31,1718.1304903738665,,1726.9633511231373,1731.6222778317515,5
394856,8,"Miami, FL",msa,FL,2020-06-30,1716.4924140783774,,1718.1304903738665,1732.8337422381885,6
394856,8,"Miami, FL",msa,FL,2020-07-31,1722.023173855585,,1716.4924140783774,1726.9633511231373,7
394856,8,"Miami, FL",msa,FL,2020-08-31,1727.4865379867867,,1722.023173855585,1718.1304903738665,8
394856,8,"Miami, FL",msa,FL,2020-09-30,1733.2099164553103,,1727.4865379867867,1716.4924140783774,9
394856,8,"Miami, FL",msa,FL,2020-10-31,1745.801856518451,,1733.2099164553103,1722.023173855585,10
394856,8,"Miami, FL",msa,FL,2020-11-30,1763.589626624069,,1745.801856518451,1727.4865379867867,11
394856,8,"Miami, FL",msa,FL,2020-12-31,1778.9412107251978,,1763.589626624069,1733.2099164553103,12
394856,8,"Miami, FL",msa,FL,2021-01-31,1794.3416692182986,,1778.9412107251978,1745.801856518451,1
394856,8,"Miami, FL",msa,FL,2021-02-28,1816.806145356844,,1794.3416692182986,1763.589626624069,2
394856,8,"Miami, FL",msa,FL,2021-03-31,1845.4484798236929,,1816.806145356844,1778.9412107251978,3
394856,8,"Miami, FL",msa,FL,2021-04-30,1879.1603215801945,,1845.4484798236929,1794.3416692182986,4
394856,8,"Miami, FL",msa,FL,2021-05-31,1918.2159035343836,,1879.1603215801945,1816.806145356844,5
394856,8,"Miami, FL",msa,FL,2021-08-31,2095.149220400602,,,1918.2159035343836,8
394856,8,"Miami, FL",msa,FL,2021-09-30,2152.015820658597,,2095.149220400602,,9
394856,8,"Miami, FL",msa,FL,2021-10-31,2194.1645874823744,,2152.015820658597,,10
394856,8,"Miami, FL",msa,FL,2021-11-30,2238.2664114359177,,2194.1645874823744,2095.149220400602,11
394856,8,"Miami, FL",msa,FL,2021-12-31,2284.3791561228145,,2238.2664114359177,2152.015820658597,12
394856,8,"Miami, FL",msa,FL,2022-01-31,2325.7942784697807,,2284.3791561228145,2194.1645874823744,1
394856,8,"Miami, FL",msa,FL,2022-02-28,2358.617723865089,,2325.7942784697807,2238.2664114359177,2
394856,8,"Miami, FL",msa,FL,2022-03-31,2394.2050569844014,,2358.617723865089,2284.3791561228145,3
394856,8,"Miami, FL",msa,FL,2022-04-30,2434.3775692858826,,2394.2050569844014,2325.7942784697807,4
394856,8,"Miami, FL",msa,FL,2022-05-31,2473.4598830833106,,2434.3775692858826,2358.617723865089,5
394856,8,"Miami, FL",msa,FL,2022-06-30,2500.0065538139816,,2473.4598830833106,2394.2050569844014,6
394856,8,"Miami, FL",msa,FL,2022-07-31,2519.360830517187,,2500.0065538139816,2434.3775692858826,7
394856,8,"Miami, FL",msa,FL,2022-08-31,2527.12451084821,,2519.360830517187,2473.4598830833106,8
394856,8,"Miami, FL",msa,FL,2022-09-30,2534.62469059416,,2527.12451084821,2500.0065538139816,9
394856,8,"Miami, FL",msa,FL,2022-10-31,2537.136629589707,,2534.62469059416,2519.360830517187,10
394856,8,"Miami, FL",msa,FL,2022-11-30,2543.437670383343,,2537.136629589707,2527.12451084821,11
394856,8,"Miami, FL",msa,FL,2022-12-31,2546.4869353576046,,2543.437670383343,2534.62469059416,12
394856,8,"Miami, FL",msa,FL,2023-01-31,2548.310719211081,,2546.4869353576046,2537.136629589707,1
394856,8,"Miami, FL",msa,FL,2023-02-28,2550.35418986528,,2548.310719211081,2543.437670383343,2
394856,8,"Miami, FL",msa,FL,2023-03-31,2556.807419663721,,2550.35418986528,2546.4869353576046,3
394856,8,"Miami, FL",msa,FL,2023-04-30,2562.695232348216,,2556.807419663721,2548.310719211081,4
394856,8,"Miami, FL",msa,FL,2023-05-31,2569.167078857588,,2562.695232348216,2550.35418986528,5
394856,8,"Miami, FL",msa,FL,2023-06-30,2572.1977045498224,,2569.167078857588,2556.807419663721,6
394856,8,"Miami, FL",msa,FL,2023-07-31,2575.7852631233504,,2572.1977045498224,2562.695232348216,7
394856,8,"Miami, FL",msa,FL,2023-08-31,2579.309010716756,,2575.7852631233504,2569.167078857588,8
394856,8,"Miami, FL",msa,FL,2023-09-30,2583.215178688104,,2579.309010716756,2572.1977045498224,9
394856,8,"Miami, FL",msa,FL,2023-10-31,2590.5685261709878,,2583.215178688104,2575.7852631233504,10
394856,8,"Miami, FL",msa,FL,2023-11-30,2592.926854220626,,2590.5685261709878,2579.309010716756,11
394856,8,"Miami, FL",msa,FL,2023-12-31,2588.5333681190805,,2592.926854220626,2583.215178688104,12
394856,8,"Miami, FL",msa,FL,2024-01-31,2587.4209785345306,,2588.5333681190805,2590.5685261709878,1
394856,8,"Miami, FL",msa,FL,2024-02-29,2593.6446867671,,2587.4209785345306,2592.926854220626,2
394856,8,"Miami, FL",msa,FL,2024-03-31,2605.20734971035,,2593.6446867671,2588.5333681190805,3
394856,8,"Miami, FL",msa,FL,2024-04-30,2612.776352104615,,2605.20734971035,2587.4209785345306,4
394856,8,"Miami, FL",msa,FL,2024-05-31,2616.1920289069203,,2612.776352104615,2593.6446867671,5
394856,8,"Miami, FL",msa,FL,2024-06-30,2619.372742771516,,2616.1920289069203,2605.20734971035,6
394856,8,"Miami, FL",msa,FL,2024-07-31,2624.7349337310925,,2619.372742771516,2612.776352104615,7
394856,8,"Miami, FL",msa,FL,2024-08-31,2629.5264005131485,,2624.7349337310925,2616.1920289069203,8
394856,8,"Miami, FL",msa,FL,2024-09-30,2634.697369037044,,2629.5264005131485,2619.372742771516,9
394856,8,"Miami, FL",msa,FL,2024-10-31,2635.445541262529,,2634.697369037044,2624.7349337310925,10
394856,8,"Miami, FL",msa,FL,2024-11-30,2635.5888997682955,,2635.445541262529,2629.5264005131485,11
394856,8,"Miami, FL",msa,FL,2024-12-31,2635.3731135862963,,2635.5888997682955,2634.697369037044,12
394856,8,"Miami, FL",msa,FL,2025-01-31,2639.1372263854278,,2635.3731135862963,2635.445541262529,1
394856,8,"Miami, FL",msa,FL,2025-02-28,2645.2536727749607,,2639.1372263854278,2635.5888997682955,2
394856,8,"Miami, FL",msa,FL,2025-03-31,2653.1547661307504,,2645.2536727749607,2635.3731135862963,3
394856,8,"Miami, FL",msa,FL,2025-04-30,2656.79959466698,,2653.1547661307504,2639.1372263854278,4
394856,8,"Miami, FL",msa,FL,2025-05-31,2657.495027521671,,2656.79959466698,2645.2536727749607,5
394856,8,"Miami, FL",msa,FL,2025-06-30,2656.218397713392,,2657.495027521671,2653.1547661307504,6
394856,8,"Miami, FL",msa,FL,2025-07-31,2656.052192425872,,2656.218397713392,2656.79959466698,7
394856,8,"Miami, FL",msa,FL,2025-08-31,2656.1043739587208,,2656.052192425872,2657.495027521671,8
394856,8,"Miami, FL",msa,FL,2025-09-30,2654.890898173588,,2656.1043739587208,2656.218397713392,9
394856,8,"Miami, FL",msa,FL,2025-10-31,2653.6250961588457,,2654.890898173588,2656.052192425872,10
394856,8,"Miami, FL",msa,FL,2025-11-30,2652.6860600266014,,2653.6250961588457,2656.1043739587208,11
394856,8,"Miami, FL",msa,FL,2025-12-31,2651.68724900609,,2652.6860600266014,2654.890898173588,12
395148,18,"Tampa, FL",msa,FL,2015-01-31,1043.2594825717397,,,,1
395148,18,"Tampa, FL",msa,FL,2015-02-28,1046.7031564175702,,1043.2594825717397,,2
395148,18,"Tampa, FL",msa,FL,2015-03-31,1050.564108439853,,1046.7031564175702,,3
395148,18,"Tampa, FL",msa,FL,2015-04-30,1058.4372926597912,,1050.564108439853,1043.2594825717397,4
395148,18,"Tampa, FL",msa,FL,2015-05-31,1066.665175957679,,1058.4372926597912,1046.7031564175702,5
395148,18,"Tampa, FL",msa,FL,2015-06-30,1073.9142664165058,,1066.665175957679,1050.564108439853,6
395148,18,"Tampa, FL",msa,FL,2015-07-31,1078.9973236145524,,1073.9142664165058,1058.4372926597912,7
395148,18,"Tampa, FL",msa,FL,2015-08-31,1081.66572454234,,1078.9973236145524,1066.665175957679,8
395148,18,"Tampa, FL",msa,FL,2015-09-30,1084.390861156464,,1081.66572454234,1073.9142664165058,9
395148,18,"Tampa, FL",msa,FL,2015-10-31,1088.0792786676066,,1084.390861156464,1078.9973236145524,10
395148,18,"Tampa, FL",msa,FL,2015-11-30,1093.2034554826653,,1088.0792786676066,1081.66572454234,11
395148,18,"Tampa, FL",msa,FL,2015-12-31,1098.672457492568,,1093.2034554826653,1084.390861156464,12
395148,18,"Tampa, FL",msa,FL,2016-01-31,1102.7093103548918,,1098.672457492568,1088.0792786676066,1
