ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_lag1,rent_lag1_lower,rent_lag1_upper,rent_lag3,rent_lag3_lower,rent_lag3_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,zorf_growth_pct,zorf_growth_pct_lower,zorf_growth_pct_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-12-31,1852.5475438143978,1767.6793106059476,2223.9936585147534,1852.5475438143978,1852.5475438143978,134.75746713566443,134.75746713566443,134.75746713566443,118.40762923746759,118.40762923746759,118.40762923746759,-813.9382571538848,-813.9382571538848,-813.9382571538848,1099.3563354618761,1099.3563354618761,1099.3563354618761,-167.01044907052375,-167.01044907052375,-167.01044907052375,16.349837898196846,16.349837898196846,16.349837898196846,0.0,0.0,0.0,0.0,0.0,0.0,1987.3050109500623
2020-01-31,1863.1800257612858,1573.1221264041803,2034.8750029986682,1863.1800257612858,1863.1800257612858,-45.78833015235698,-45.78833015235698,-45.78833015235698,120.30427462332138,120.30427462332138,120.30427462332138,-819.3469973743788,-819.3469973743788,-819.3469973743788,1106.661721068224,1106.661721068224,1106.661721068224,-167.01044907052375,-167.01044907052375,-167.01044907052375,-166.09260477567835,-166.09260477567835,-166.09260477567835,0.0,0.0,0.0,0.0,0.0,0.0,1817.3916956089288
2020-02-29,1873.126541130955,1607.4503553920108,2048.0180812208964,1873.126541130955,1873.126541130955,-47.6576089029311,-47.6576089029311,-47.6576089029311,122.21352349855798,122.21352349855798,122.21352349855798,-824.7916794743896,-824.7916794743896,-824.7916794743896,1114.0156520434714,1114.0156520434714,1114.0156520434714,-167.01044907052375,-167.01044907052375,-167.01044907052375,-169.8711324014891,-169.8711324014891,-169.8711324014891,0.0,0.0,0.0,0.0,0.0,0.0,1825.468932228024
2020-03-31,1883.7590230778428,1661.1795274524861,2106.7896999938016,1883.7590230778428,1883.7590230778428,-5.8033917819919525,-5.8033917819919525,-5.8033917819919525,124.1354596152303,124.1354596152303,124.1354596152303,-830.2725422930282,-830.2725422930282,-830.2725422930282,1121.4184509787822,1121.4184509787822,1121.4184509787822,-167.01044907052375,-167.01044907052375,-167.01044907052375,-129.93885139722227,-129.93885139722227,-129.93885139722227,0.0,0.0,0.0,0.0,0.0,0.0,1877.955631295851
2020-04-30,1893.8285839283124,1927.2352973421632,2397.144948020268,1893.8285839283124,1893.8285839283124,273.9630901995085,273.9630901995085,273.9630901995085,126.0701672819362,126.0701672819362,126.0701672819362,-835.7898262565255,-835.7898262565255,-835.7898262565255,1128.8704426089855,1128.8704426089855,1128.8704426089855,-167.01044907052375,-167.01044907052375,-167.01044907052375,147.89292291757226,147.89292291757226,147.89292291757226,0.0,0.0,0.0,0.0,0.0,0.0,2167.791674127821
2020-05-31,1904.233796807131,1986.9824619796666,2418.4593588312864,1904.233796807131,1904.233796807131,300.9774727535893,300.9774727535893,300.9774727535893,128.01773136751666,128.01773136751666,128.01773136751666,-841.3437733887818,-841.3437733887818,-841.3437733887818,1136.3719538268222,1136.3719538268222,1136.3719538268222,-167.01044907052375,-167.01044907052375,-167.01044907052375,172.95974138607264,172.95974138607264,172.95974138607264,0.0,0.0,0.0,0.0,0.0,0.0,2205.21126956072
2020-06-30,1914.3033576576006,1837.4648910908556,2306.5771487592065,1914.3033576576006,1914.3033576576006,164.8628887064586,164.8628887064586,164.8628887064586,129.97823730477805,129.97823730477805,129.97823730477805,-846.934627321981,-846.934627321981,-846.934627321981,1143.9233136972828,1143.9233136972828,1143.9233136972828,-167.01044907052375,-167.01044907052375,-167.01044907052375,34.88465140168053,34.88465140168053,34.88465140168053,0.0,0.0,0.0,0.0,0.0,0.0,2079.166246364059
2020-07-31,1924.7085705364193,1857.2383356060611,2307.5259772176646,1924.7085705364193,1924.7085705364193,160.31270546810717,160.31270546810717,160.31270546810717,131.95177109424122,131.95177109424122,131.95177109424122,-852.5626333072795,-852.5626333072795,-852.5626333072795,1151.5248534720445,1151.5248534720445,1151.5248534720445,-167.01044907052375,-167.01044907052375,-167.01044907052375,28.360934373865916,28.360934373865916,28.360934373865916,0.0,0.0,0.0,0.0,0.0,0.0,2085.0212760045265
2020-08-31,1934.7840150672328,1818.6883236644794,2266.8734784857143,1934.7840150672328,1934.7840150672328,97.13199752186213,97.13199752186213,97.13199752186213,133.93841930791234,133.93841930791234,133.93841930791234,-858.228038225564,-858.228038225564,-858.228038225564,1159.1769066040001,1159.1769066040001,1159.1769066040001,-167.01044907052375,-167.01044907052375,-167.01044907052375,-36.806421786050194,-36.806421786050194,-36.806421786050194,0.0,0.0,0.0,0.0,0.0,0.0,2031.9160125890949
2020-09-30,1944.5344452583427,1894.140894522079,2339.5183661334645,1944.5344452583427,1944.5344452583427,176.6023267407717,176.6023267407717,176.6023267407717,135.9382690930819,135.9382690930819,135.9382690930819,-863.9310905982805,-863.9310905982805,-863.9310905982805,1166.8798087618864,1166.8798087618864,1166.8798087618864,-167.01044907052375,-167.01044907052375,-167.01044907052375,40.66405764768978,40.66405764768978,40.66405764768978,0.0,0.0,0.0,0.0,0.0,0.0,2121.1367719991144
